@relation processed_Adult_13

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric

@data
1,0.186767,0.474654,0,0.230769,0.875,0.0625,0,0,0,1,0.5,0,0.00034,0
1,0.150376,0.455667,1,0.538462,0.375,0.10425,0,0,0,0,0,0.105263,0,0
1,0.278195,0.006265,0,0.538462,0.875,0.1625,1,1,0.058824,1,0.5,0.568421,0.16,1
1,0.224361,0.550598,1,0.076923,0.375,0.00625,0,0,0,0,0.5,0,0.00572,0
1,0.398496,0.816404,1,0.692308,1,1,1,1,0.647059,0,0.5,0,0.024,1
0,0.704211,0.626543,1,0.769231,0.375,0.55,1,0,0,1,0.5,0.027632,0.21122,1
1,0.142857,0.037972,1,0.538462,0.375,0.04175,1,0,0,0,0,0.394737,0,1
1,0.556391,0.022214,1,0,0,0,0,0,0,0,0.5,0.190789,0,0
1,0.442406,0.189861,1,0.153846,0.5,0.1125,0,0,0,1,0.5,0.185526,0,0
0,0.053835,0.360737,1,0.384615,0.375,0.0875,0,1,0.588235,1,0.5,0,0.0002,0
1,0.22812,0.01424,1,0.538462,0.375,0.0145,0,0,0,0,0.5,0.289474,0.0028,0
0,0.095188,0.004747,1,0.769231,0.375,0.05,0,1,0.058824,0,0.5,0.315789,0.01536,1
0,0.041353,0.047465,1,0.769231,0.375,0.0125,0,1,0.058824,0,0.5,0.142105,0.00196,0
0,0.10406,0.113917,1,0.769231,0.375,0.00825,1,1,0.176471,0,0.5,0.131579,0.00012,1
1,0.180451,0.018986,1,0.538462,0.375,0.073,1,1,0.294118,1,0.5,0.410526,0,1
1,0.241805,0.047465,0,0.230769,0.375,0.0125,0,0,0,0,0.5,0.294737,0,0
0,0.64782,0.161382,0,0,0,0.25,0,0,0,1,0.5,0,0.00008,0
1,0.145414,0.022214,1,0.538462,0.875,0.00425,1,0,0,0,0.5,0.236842,0,0
0,0.033835,0.006265,1,0.384615,0.375,0.05,0,1,0.117647,1,0.5,0.421053,0.00002,0
1,0.35594,0.077463,1,0.615385,0.375,0.002,1,0,0,1,0.5,0.526316,0.116,1
1,0.947368,0.846402,1,0.692308,1,0.6375,1,1,0.058824,1,0.5,0,0.00218,1
1,0.12782,0.341751,1,0.384615,0.375,0.00425,0,0,0,0,0.5,0,0,0
1,0.12782,0.017467,1,0.230769,0.375,0.00625,0,0,0,1,0.5,0.368421,0.0011,0
1,0.087669,0.022214,1,0,0,0,0,1,0.176471,0,0.5,0.460526,0.01538,0
1,0,0.151889,0,0.615385,0.375,0.0875,1,1,0.117647,1,0.5,0.157895,0.02,1
1,0.383459,0.360737,1,0.461538,0.375,0.325,1,1,0.823529,0,0.5,0.315789,0.09214,1
1,0.323308,0.626543,0,0.538462,0.375,0.2,1,0,0,0,0.5,0.105263,0,0
1,0.338346,0.189861,1,0.538462,0.5,0.125,1,1,0.352941,0,0.5,0,0.00734,1
1,0.12406,0.029998,1,0.615385,0.375,0.0145,0,1,0.058824,0,0.5,0.552632,0.00566,0
1,0.139098,0.028479,1,0.461538,0.375,0.025,0,0,0,1,0,0.421053,0,0
1,0.565113,0.379723,1,0.153846,0.5,0,1,1,0.647059,0,0.5,0,0.02498,1
1,0.279398,0.094931,1,0.538462,0.375,0.0625,0,0,0,1,0.5,0.368421,0,0
1,0.307068,0.199354,1,0.615385,0.375,0.00425,0,0,0,1,0.5,0.381579,0.00012,1
1,0.209323,0.075945,1,1,0.875,0.05,1,1,0.235294,0,0.5,0.184211,0.15088,1
0,0.165414,0.518891,1,0.769231,0.875,0.075,0,0,0,0,0.5,0.368421,0.00002,0
1,0.337143,0.688248,1,0.615385,0.375,0.00425,0,0,0,0,0.5,0.421053,0.07104,0
1,0.254436,0.094931,1,0.923077,0.875,0.1125,0,0,0,1,0,0.447368,0,0
0,0.709323,0.189861,1,0.384615,0.375,0.2,1,1,0.235294,0,0.5,0,0.00198,1
1,0.115338,0.028479,0,0.846154,0.75,0.0375,0,0,0,1,0.5,0.173684,0.00004,0
0,0.122857,0.442947,1,0.230769,0.875,0.00425,0,0,0,0,0.5,0.421053,0.0001,0
1,0.194286,0.161382,1,0.923077,0.375,0.2145,1,1,0.058824,1,0.5,0.157895,0,1
0,0.169173,0.417695,0,0.384615,0.375,0.225,1,0,0,0,0.5,0.157895,0,0
0,0.216842,0.01424,1,0.769231,0.375,0.02925,1,1,0.235294,0,0.5,0.105263,0,1
0,0.180451,0.018986,1,0.538462,0.875,0.04375,1,0,0,1,0.5,0.646053,0,1
1,0.510075,0.094931,1,0.461538,0.5,0.125,1,1,0.705882,1,0.5,0.539474,0.0502,1
0,0.642857,0.607556,1,0.307692,0,0,1,1,0.882353,0,0.5,0,0.00494,1
0,0.201805,0.047465,1,0,0,0,0,1,0.058824,0,0.5,0.121053,0.006,0
1,0.109023,0.181887,0,0.615385,0.375,0.1125,1,1,0.058824,1,0.5,0.105263,0.006,1
1,0.408571,0.031707,1,0,0,0,1,0,0,0,0.5,0.171053,0.00002,0
1,0.189173,0.49364,1,0.692308,0.125,0,0,0,0,1,0.5,0.184211,0.0222,0
1,0.186767,0.031707,1,0.923077,0.375,0.05825,0,0,0,0,0.5,0.131579,0,0
0,0.10406,0.069679,1,0.769231,0.375,0.10425,1,1,0.294118,0,0.5,0.289474,0.05006,1
