@relation Banana_6

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric

@data
0.980335,0.348687,0
0.469122,0.58406,1
0.198689,0.260286,1
0.276795,0.833458,1
0.812933,0.306123,0
0.179804,0.452823,1
0.312231,0.147013,1
0.847494,0.524722,0
0.346922,0.694556,1
0.822268,0.808446,0
0.484747,0.774322,1
0.233842,0.56201,1
0.180704,0.497421,1
0.401657,0.322512,0
0.079035,0.329886,1
0.871719,0.908228,0
0.129386,0.368027,1
0.84277,0.762829,0
0.226234,0.594742,1
0.322609,0.637306,1
0.345459,0.415138,0
0.524194,0.251245,0
0.364728,0.068946,1
0.49917,0.369282,0
0.731791,0.280063,0
0.784822,0.684492,0
0.775313,0.344156,0
0.807303,0.674174,0
0.182864,0.177296,1
0.57136,0.32454,0
0.439917,0.621586,1
0.573313,0.210603,0
0.599222,0.18996,0
0.620308,0.171677,0
0.806543,0.861314,0
0.19008,0.537996,1
0.449592,0.660737,1
0.797756,0.26572,0
0.290424,0.450642,1
0.534003,0.181824,0
0.308558,0.010131,1
0.872484,0.535633,0
0.942243,0.640861,0
0.167788,0.40542,1
0.758056,0.396093,0
0.674274,0.613615,1
0.615517,0.504601,1
0.935394,0.536284,0
0.355671,0.625341,1
0.903708,0.810283,0
0.159229,0.174802,1
0.576034,0.780587,1
0.803448,0.415363,0
0.649791,0.336939,0
0.197051,0.296248,1
0.637428,0.211596,0
0.791135,0.377723,0
0.079962,0.340589,1
0.373323,0.416807,0
0.652617,0.222027,0
0.663852,0.515085,1
0.364757,0.299444,0
0.394458,0.441036,0
0.116308,0.24948,1
0.291621,0.133691,1
0.436214,0.656861,1
0.185426,0.313735,1
0.628457,0.481945,1
0.447122,0.701006,1
0.188738,0.342766,1
0.625265,0.734466,1
0.240317,0.531485,1
0.503016,0.356545,0
0.742685,0.26495,0
0.192728,0.079606,1
0.772385,0.52852,0
0.736951,0.269535,0
0.39259,0.648936,1
0,0.438328,1
0.308214,0.103379,1
0.482607,0.468674,0
0.427893,0.429584,0
0.43034,0.433971,0
0.579848,0.338104,0
0.74046,0.443352,0
0.280192,0.175428,1
0.285166,0.23031,1
0.535976,0.704801,1
0.832778,0.64767,0
0.101292,0.386991,1
0.195164,0.246999,1
0.187034,0.329881,1
0.725879,0.233977,0
0.918716,0.398355,0
0.148548,0.323885,1
0.408554,0.555401,1
0.75612,0.338066,0
0.561944,0.295364,0
0.910342,0.388984,0
0.629128,0.195663,0
0.063062,0.381227,1
0.749776,0.327948,0
0.313023,0.130002,1
0.555194,0.516333,1
0.89971,0.419537,0
0.744496,0.655995,0
0.258944,0.261064,1
0.339371,0.151094,1
0.467229,0.625708,1
0.463757,0.706513,1
0.771837,0.952124,0
0.688589,0.548823,1
0.596119,0.692573,1
0.845543,0.640626,0
0.182833,0.296129,1
0.159063,0.343544,1
0.219406,0.616952,1
0.801622,0.419082,0
0.603077,0.550176,1
0.145152,0.318147,1
0.764966,0.575999,0
0.849772,0.527015,0
0.779233,0.430782,0
0.78183,0.471694,0
0.249234,0.48397,1
0.63639,0.324695,0
0.685848,0.412395,0
0.519963,0.574037,1
0.963239,0.969198,0
0.48073,0.664155,1
0.226077,0.527659,1
0.237231,0.370869,1
0.285404,0.107223,1
0.481738,0.666877,1
0.909473,0.593185,0
0.245895,0.127136,1
0.448466,0.685401,1
0.838743,0.72673,0
0.563307,0.362504,0
0.223078,0.500879,1
0.836433,0.693928,0
0.2512,0.473411,1
0.640534,0.589599,1
0.682054,0.240815,0
0.849932,0.849427,0
0.823871,0.729696,0
0.190766,0.611726,1
0.210589,0.251916,1
0.368372,0.703292,1
0.525346,0.347103,0
0.762321,0.996156,0
0.207322,0.363282,1
0.719971,0.675095,0
0.508824,0.356029,0
0.660663,0.577636,1
0.329345,0.443898,0
0.306689,0.599107,1
0.635775,0.598513,1
0.212236,0.146794,1
0.191876,0.173988,1
0.85137,0.373589,0
0.220863,0.470618,1
0.153285,0.483665,1
0.251827,0.158524,1
0.719317,0.390551,0
0.549299,0.317367,0
0.431182,0.22763,0
0.639171,0.714167,1
0.797668,0.364299,0
0.299908,0.102609,1
0.182452,0.325605,1
0.272638,0.25106,1
0.82613,0.507631,0
0.435366,0.375697,0
0.275435,0.04905,1
0.401189,0.758134,1
0.358636,0.677087,1
0.145104,0.524911,1
0.744271,0.885369,0
0.16767,0.273156,1
0.81236,0.522048,0
0.477049,0.428564,0
0.784618,0.360371,0
0.493039,0.34112,0
