@relation Faults_7

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric

@data
0.929461,0.933806,0.014422,0.014422,0.001245,0.00402,0.001488,0.002055,0.551724,0.476852,0.820106,0,1,1,0.128691,0.588622,0.58919,0.016188,0.354302,0.960112,1,0.437209,0.4176,0.336112,0.702237,0.56604,0.663678,6
0.951393,0.950946,0.166495,0.166494,0.000563,0.001819,0.001047,0.000598,0.330049,0.263889,0.756614,1,0,0.153846,0.052303,0.476745,0.394978,0.006677,0.371956,1,1,0.371468,0.021417,0.030549,0.800387,0.342217,0.181839,5
0.079431,0.089835,0.013148,0.013147,0.000649,0.002776,0.001102,0.00106,0.581281,0.453704,0.238095,0,1,0,0.198327,0.451425,0.358274,0.029543,0.705459,0.30838,0,0.383072,0.466795,0.021206,0.17031,0.559426,0.20681,2
0.092472,0.093972,0.003039,0.003038,0.000223,0.000574,0.000441,0.000533,0.847291,0.703704,0.222222,0,1,0.615385,0.232389,0.454074,0.77594,0.007487,0.873174,1,1,0.296143,0.019354,0.022406,0.607858,0.838452,0.056413,6
0.023118,0.126478,0.134936,0.134939,0.042849,0.026515,0.00876,0.058578,0.192118,0.407407,0.231041,0,1,0,0.057845,0.481407,0.369063,0.263658,0.636364,0.350503,0,0.734574,0.790666,0.428793,0.175763,0.455766,1,2
0.001186,0.131206,0.0016,0.001608,0.10514,0.076864,0.021982,0.137527,0.128079,0.412037,0.231041,0,1,0.038462,0.003023,0.497087,0.599375,0.330635,0.267756,0.259777,0,0.810191,0.825312,0.500223,0.292157,0.432847,1,2
0.0492,0.052009,0.194525,0.194524,0.000347,0.001053,0.000606,0.000564,0.561576,0.453704,0.223986,1,0,0.115385,0.123551,0.470813,0.816678,0.01032,0.687804,0.906927,1,0.331865,0.023235,0.244535,0.58727,0.555563,0.09773,6
0.724956,0.727541,0.034647,0.034646,0.001251,0.001627,0.001102,0.00162,0.325123,0.407407,0.234568,0,1,0,0.185226,0.248014,0.567813,0.014771,0.626218,1,1,0.437655,0.373173,0.31047,0.713041,0.429049,0.338252,6
0.776526,0.775414,0.186253,0.186252,0.00038,0.00134,0.000992,0.000592,0.541872,0.416667,0.220459,0,1,0,0.053613,0.470813,0.32772,0.005868,0.365869,0.941229,1,0.33918,0.016974,0.294761,0.834378,0.531072,0.108967,4
0.131002,0.137116,0.127807,0.127807,0.001592,0.00335,0.001763,0.002359,0.492611,0.402778,0.223986,1,0,0.115385,0.328933,0.418582,0.551881,0.019425,0.396713,0.796872,1,0.457758,0.407641,0.336112,0.721093,0.501015,0.619523,1
0.631298,0.632979,0.10615,0.106149,0.000419,0.001053,0.000496,0.000626,0.482759,0.453704,0.700176,1,0,0.115385,0.681346,0.360208,1,0.00951,0.765828,1,0.5,0.347214,0.024864,0.023481,0.494624,0.506188,0.098865,5
0.190279,0.19208,0.051935,0.051933,0.000098,0.000957,0.00022,0.000168,0.596059,0.476852,0.231041,0,1,0.038462,0.476469,0.609175,0.621861,0.008903,0.66183,1,0,0.232925,0.021417,0.016413,0.303521,0.584638,0.033258,3
