@relation German_11

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric

@data
1,0.196429,0.5,0.070513,1,0.5,1,0.333333,0,0.375,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0.333333,0.142857,0.5,0.064103,0,0.25,0.666667,0,0.666667,0.053571,0.5,0,0,0,0,0,0,1,0,0,1,0,0,1,1
0.333333,0.196429,0.5,0.147436,0.25,0.5,0.333333,1,0.666667,0.160714,1,0.333333,0,1,0,1,0,1,0,1,0,0,0,1,1
1,0.785714,1,0.211538,1,1,0.666667,0,0,0.5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.035714,0.25,0.00641,0.75,0.25,0.333333,0.333333,0.333333,0.089286,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
0,0.196429,0,0.044872,0,1,0.666667,0.666667,0.666667,0.25,1,0.333333,1,0,0,1,0,1,0,1,0,0,0,1,1
0,0.464286,0.5,0.391026,1,1,0.666667,1,0.333333,0.214286,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0.678571,0.5,0.487179,0,0.75,0.666667,1,0.333333,0.464286,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.333333,0.214286,1,0.057692,0,0,0.666667,0.666667,0.666667,0.875,1,0.666667,0,1,0,1,0,1,0,0,0,1,0,0,0
0.666667,0.142857,0.5,0.173077,0,0.5,1,0,0.666667,0.089286,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.357143,0.5,0.044872,1,1,0.666667,0.333333,0.666667,0.107143,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.053571,0.75,0.032051,1,1,0.666667,1,1,0.303571,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.142857,1,0.057692,0.5,0.5,0.666667,1,0,0.446429,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0.333333,0.303571,1,0.217949,0,0.75,0.666667,0.666667,0.333333,0.142857,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.25,0.5,0.153846,1,0.75,0.666667,0.666667,0.333333,0.232143,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
0.333333,0.25,0.75,0.378205,0,0.5,0.666667,1,0,0.446429,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0
1,0.25,0.5,0.275641,0,0.25,0.666667,0.333333,0.666667,0.232143,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0.035714,1,0.070513,0,0.5,0.333333,0,0.666667,0.160714,1,0.333333,0,1,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.196429,0.5,0.147436,0.25,0.5,0.333333,0.333333,0,0.107143,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0.571429,0.5,1,0,0,0,0.666667,0.666667,0.428571,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.333333,0.571429,0.5,0.288462,0,0.25,0.333333,0,1,0.196429,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0.666667,0.357143,0.5,0.166667,0,1,0,1,1,0.571429,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.25,0.5,0.076923,0,0.25,1,1,0,0.357143,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
