@relation Laryngeal3_14

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric

@data
0.986486,0,0.336239,0.024902,0.068058,0.214355,0.334294,0.35152,0.804057,0.110804,0.116396,0.166485,0.483115,0,0.069444,0.038276,1
1,0,0.740971,0.012999,0.02278,0.039921,0.713417,0.650429,0.273452,0.015398,0.01371,0.048966,0.769896,0,0.018018,0.00747,0
0.986486,0,0.271067,0.051229,0.026671,0.04175,0.518092,0.451676,0.674031,0.008987,0.016672,0.686616,0.284267,0,0.15991,0.016138,1
1,0,0.765463,0.003615,0.016767,0.029113,0.854627,0.787217,0.172401,0.010244,0.003702,0.01741,0.802887,0,0.043544,0.003201,0
1,0,0.732254,0.001022,0.008702,0.028666,0.6878,0.645362,0.209344,0.018981,0.004723,0.09358,0.67012,0,0.02027,0.007949,1
1,0,0.520963,0.102823,0.09671,0.199829,0.12488,0.20304,0.931909,0.732638,0.060534,1,0.155624,0,0.1997,0.015757,2
0.986486,0,0.296389,0.028043,0.037566,0.150217,0.400576,0.266563,0.852952,0.328263,0.073912,0.484222,0.392542,0,0.243619,0.042469,2
1,0,0.417601,0.022018,0.016908,0.050953,0.467499,0.627046,0.75661,0.010873,0.04713,0.0642,0.621288,0,0.107357,0.014418,0
1,0.0093,0.358655,0.06766,0.02745,0.108712,0.306436,0.301637,0.829772,0.105085,0.140753,0.269859,0.468631,0.076923,0.394144,0.070858,1
1,0,0.652138,0.056669,0.022922,0.1028,0.567723,0.60873,0.495835,0.019798,0.035616,0.163221,0.609771,0,0.349099,0.070575,1
0.986486,0,0.246575,0.059225,0.015776,0.030352,0.676273,0.655495,0.45853,0.003582,0.029131,0.047878,0.67359,0,0.399024,0.042458,1
1,0,0.626816,0.010443,0.014927,0.047296,0.42203,0.495323,0.687432,0.261454,0.03508,0.445049,0.482813,0,0.133258,0.029587,1
1,0,0.760482,0.014496,0.003467,0.084373,0.75056,0.861652,0.259326,0.008359,0.009651,0.043526,0.779728,0,0.026652,0.017456,0
0.945946,0.226417,0.293068,0.191478,0.086028,0.304965,0.247518,0.193687,0.913075,0.369681,0.483686,0.087051,0.649476,0.538462,0.12988,0.066349,1
1,0,0.377335,0.02859,0.012876,0.082179,0.617035,0.651208,0.523723,0.007542,0.023974,0.095756,0.53597,0,0.15503,0.025318,1
1,0,0.48983,0.062146,0.038345,0.238775,0.365354,0.355417,0.744296,0.218402,0.044501,0.724701,0.33682,0,0.396772,0.104724,1
0.891892,0.064438,0.363221,0.037134,0.073293,0.279469,0.26513,0.217849,0.855487,0.415122,0.306245,0.448313,0.477457,0.076923,0.161787,0.100423,2
0.189189,0.025908,0.239934,0.04064,0.079802,0.107635,0.550112,0.249805,0.862731,0.250581,0.108609,0.050054,0.541879,0.076923,0.131006,0.059358,1
0.986486,0,0.234537,0.089312,0.068907,0.112673,0.308678,0.24318,0.897863,0.366036,0.039803,0.680087,0.247705,0,0.183559,0.017978,1
0.986486,0,0.242009,0.009384,0.001769,0.001727,0.95293,0.952455,0.328504,0.000251,0.000587,0.006529,0.766099,0,0.008634,0.000044,0
1,0,0.274388,0.030087,0.052423,0.132319,0.385527,0.212393,0.91561,0.385959,0.121119,0.45049,0.449571,0,0.105856,0.035903,1
1,0,0.552096,0.118085,0.274425,0.245906,0.09382,0.119641,0.957624,0.802589,0.25891,0.861806,0.274133,0,0.275901,0.025928,2
1,0,0.655044,0.037719,0.116873,0.146662,0.154339,0.292673,0.89569,0.650305,0.131281,0.755169,0.334104,0,0.077327,0.023042,2
1,0,0.744292,0.012962,0.030492,0,0.820365,0.762666,0.377762,0.008233,0.00194,0.013058,0.775906,0,0.046547,0.007775,0
1,0,0.60191,0.020083,0.019738,0.105725,0.646814,0.503118,0.423397,0.017724,0.020221,0.389554,0.467676,0,0.126877,0.032331,1
0.986486,0,0.359485,0.032972,0.030704,0.063691,0.481908,0.40608,0.653749,0.011501,0.035258,0.114255,0.455103,0,0.175676,0.014635,1
0.986486,0.011293,0.472395,0.055063,0.068482,0.351449,0.253923,0.177708,0.82289,0.496386,0.177543,0.676823,0.363047,0.076923,0.116366,0.128724,1
1,0,0.777501,0.003396,0.012805,0.020682,0.777778,0.882697,0.276349,0.008799,0.00554,0.010881,0.90905,0,0.048048,0.008516,0
0.986486,0,0.174761,0.03425,0.078104,0.119845,0.372398,0.27085,0.828323,0.013576,0.076083,0.309032,0.449747,0,0.123498,0.030403,1
0.986486,0,0.255708,0.009092,0.02087,0.181342,0.596222,0.465705,0.58783,0.079442,0.024561,0.248096,0.450929,0,0.077327,0.035162,1
1,0,0.43379,0.037755,0.011461,0.010239,0.443484,0.515978,0.657371,0.06241,0.001225,0.300326,0.466896,0,0.253003,0.010421,1
1,0,0.655459,0.021324,0.030421,0.092398,0.661223,0.541699,0.46686,0.018415,0.02017,0.583243,0.43989,0,0.117117,0.034378,2
1,0.042294,0.518888,0.04451,0.047117,0.03344,0.596862,0.526111,0.64397,0.054616,0.016059,0.201306,0.558525,0.076923,0.347598,0.120514,1
1,0,0.479037,0.035674,0.03219,0.161859,0.586295,0.504287,0.651938,0.074728,0.040007,0.113166,0.687772,0,0.097598,0.025394,1
0.986486,0.170948,0.919884,0.122795,0.192006,0.405022,0.068204,0.146921,0.943137,0.719816,0.605928,0.316649,0.576278,1,0.14527,0.101098,1
1,0.013618,0.404732,0.007011,0.021153,0.229592,0.527378,0.39166,0.616443,0.178493,0.04542,0.238303,0.515427,0.076923,0.064565,0.565304,1
