@relation Magic_13

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric

@data
0.085833,0.074036,0.252277,0.34685,0.272376,0.358945,0.530915,0.575966,0.119202,0.427327,0
0.080611,0.082666,0.283028,0.327372,0.236752,0.436003,0.573587,0.575853,0.100967,0.453612,0
0.083018,0.058196,0.211768,0.363253,0.301618,0.383584,0.507393,0.529685,0.295011,0.379868,0
0.103959,0.07091,0.216913,0.355735,0.277275,0.399215,0.501792,0.580097,0.146389,0.517052,0
0.116849,0.078072,0.207747,0.478756,0.422443,0.362458,0.488062,0.534857,0.418711,0.391835,1
0.551939,0.129865,0.223802,0.538444,0.33457,0.258944,0.218788,0.485765,0.364573,0.750453,1
0.25322,0.060344,0.311739,0.254129,0.204245,0.31716,0.688404,0.575577,0.004937,0.533693,0
0.243743,0.114938,0.386044,0.214489,0.158824,0.369312,0.625717,0.480165,0.000244,0.664686,0
0.493313,0.475209,0.721526,0.008315,0.006976,0.462256,0.751115,0.45134,0.983311,0.269521,1
0.08918,0.032715,0.248551,0.453696,0.329227,0.414029,0.651592,0.525737,0.079299,0.577117,1
0.035747,0.040689,0.085482,0.681741,0.466677,0.423238,0.573435,0.5617,0.147122,0.441919,0
0.266316,0.068735,0.275163,0.300034,0.217901,0.397678,0.742419,0.535221,0.046678,0.515718,0
0.278231,0.086582,0.277025,0.336143,0.248033,0.306036,0.661913,0.520452,0.029467,0.70891,0
0.107512,0.034036,0.222856,0.426244,0.348523,0.416755,0.537902,0.562255,0.627208,0.348065,1
0.1004,0.092994,0.429687,0.218134,0.151848,0.417476,0.581977,0.566548,0.118782,0.412659,0
0.319854,0.088401,0.35068,0.169268,0.128544,0.213486,0.73074,0.496852,0.017811,0.645967,0
0.198982,0.086466,0.374867,0.161522,0.119193,0.286104,0.510197,0.564859,0.019846,0.467942,0
0.092289,0.036629,0.242312,0.49664,0.35357,0.431802,0.602663,0.560561,0.908258,0.539933,1
0.0966,0.079525,0.250917,0.32293,0.239127,0.374298,0.490361,0.523683,0.656067,0.116241,0
0.298383,0.277193,0.454317,0.189885,0.154371,0.463517,0.764703,0.38244,0.438746,0.666222,1
0.058487,0.03781,0.191366,0.680601,0.694523,0.427308,0.582762,0.530473,0.341431,0.243217,1
0.098019,0.076442,0.353755,0.295136,0.208698,0.386657,0.583743,0.585508,0.050499,0.479509,0
0.045897,0.060208,0.222088,0.546873,0.507347,0.400769,0.587245,0.563512,0.254113,0.355195,0
0.100014,0.063171,0.264163,0.42146,0.322102,0.422172,0.602833,0.572425,0.017444,0.441101,0
0.235475,0.110232,0.485452,0.153548,0.128099,0.445454,0.693074,0.512673,0.02575,0.366684,0
0.594019,0.181822,0.397339,0.163572,0.135817,0.220143,0.406177,0.685726,0.60914,0.182171,1
0.142975,0.063375,0.249556,0.410639,0.346297,0.441421,0.642831,0.588841,0.084507,0.474033,0
0.040308,0.050354,0.182377,0.561453,0.428677,0.384507,0.529647,0.53167,0.118977,0.296253,0
0.029975,0.043771,0.113838,0.69951,0.57726,0.39707,0.564886,0.56737,0.352889,0.525708,0
0.377829,0.181897,0.3589,0.206629,0.160754,0.269524,0.739319,0.626794,0.344328,0.459656,1
0.144776,0.046064,0.323152,0.340699,0.232151,0.430246,0.506143,0.554883,0.858422,0.324359,1
0.048516,0.041851,0.153785,0.782435,0.52605,0.392124,0.567276,0.555487,0.574812,0.28442,1
0.033417,0.04082,0.193436,0.719216,0.555292,0.420103,0.577137,0.533337,0.689939,0.462726,1
0.123177,0.083741,0.352395,0.226336,0.174855,0.405851,0.491373,0.511849,0.037159,0.407965,0
0.043086,0.028062,0.071555,0.82891,0.549503,0.402892,0.532538,0.561778,0.760531,0.526063,0
0.103879,0.092446,0.344293,0.257205,0.206175,0.416426,0.492635,0.59499,0.0434,0.367901,0
0.033852,0.050646,0.070639,0.784827,0.645243,0.440896,0.538178,0.542942,0.71265,0.457552,1
0.245645,0.105563,0.413927,0.20139,0.185246,0.301005,0.667926,0.614749,0.031732,0.501006,0
0.048321,0.064309,0.209787,0.476136,0.332938,0.378937,0.524579,0.513889,0.191021,0.185936,0
0.048176,0.042439,0.164075,0.678779,0.626837,0.422875,0.58315,0.563934,0.008078,0.443236,1
0.035578,0.041381,0.136044,0.807495,0.585572,0.408306,0.523658,0.564168,0.831307,0.109732,0
0.086722,0.027258,0.183087,0.636633,0.438474,0.441146,0.599881,0.530565,0.058022,0.356861,0
0.022737,0.048893,0.112005,0.780613,0.528722,0.398881,0.547853,0.536726,0.708892,0.242116,0
0.600236,0.281352,0.518569,0.106276,0.021523,0.386926,0.190361,0.317936,0.050853,0.17485,1
0.042967,0.049051,0.143702,0.525686,0.357429,0.396664,0.574585,0.572672,0.412367,0.451783,0
0.099625,0.039452,0.249556,0.490944,0.334125,0.43202,0.589107,0.564077,0.751378,0.299651,1
0.047581,0.045718,0.185009,0.584463,0.453763,0.440092,0.579806,0.526026,0.304774,0.515311,1
0.044722,0.046377,0.110881,0.709648,0.495621,0.37893,0.590112,0.511005,0.204824,0.071527,1
0.063321,0.031312,0.159077,0.695068,0.602642,0.406081,0.595978,0.520635,0.283657,0.348479,0
0.07527,0.029642,0.246895,0.580021,0.506012,0.379849,0.536255,0.55628,0.853574,0.24092,1
0.152926,0.076284,0.259787,0.200478,0.1422,0.39757,0.474329,0.58452,0.130072,0.429297,0
0.117216,0.062874,0.191957,0.382618,0.27579,0.457569,0.571573,0.577707,0.081744,0.581564,0
0.067373,0.09676,0.349823,0.314273,0.234526,0.370995,0.550172,0.515501,0.275354,0.411895,1
0.053904,0,0.074867,0.880055,0.7156,0.399436,0.554013,0.496307,0.710083,0.116144,0
0.071482,0.072799,0.250207,0.391844,0.276829,0.429632,0.58952,0.584137,0.240142,0.447836,1
0.118239,0.03579,0.271733,0.405969,0.293306,0.441991,0.516269,0.55837,0.616311,0.522915,1
0.207019,0.092085,0.455322,0.200365,0.148286,0.471925,0.663292,0.512835,0.012767,0.544839,0
0.053964,0,0.03696,0.78665,0.553807,0.399436,0.554013,0.571527,0.314078,0.051976,0
0.140504,0.083512,0.248196,0.275544,0.209886,0.424256,0.65899,0.495875,0.180978,0.169702,0
0.018325,0.044307,0.050562,0.829252,0.578447,0.415137,0.543074,0.516032,0.721478,0.480755,1
0.038516,0.029011,0.059166,0.85659,0.680125,0.401749,0.53908,0.536686,0.331533,0.373641,0
0.035963,0.048437,0.168924,0.625242,0.5308,0.396958,0.57196,0.574764,0.163422,0.28564,0
0.081261,0.058094,0.215523,0.488666,0.359507,0.403644,0.598683,0.564657,0.095581,0.388272,0
0.063383,0.028349,0.151833,0.780157,0.580229,0.418678,0.531983,0.531159,0.997663,0.516848,1
0.042282,0.047826,0.157363,0.566807,0.426154,0.397493,0.570476,0.575043,0.446628,0.341434,0
0.06229,0.056743,0.193938,0.472377,0.369601,0.367865,0.589648,0.571375,0.919239,0.254887,1
0.037917,0.045339,0.138321,0.637658,0.586908,0.398191,0.5687,0.515896,0.154133,0.387977,0
0.084189,0.053352,0.183974,0.339674,0.232745,0.373131,0.566414,0.516058,0.20396,0.523084,0
0.210826,0.126219,0.44521,0.242511,0.224135,0.331444,0.65049,0.459472,0.028889,0.62684,0
0.080338,0.025961,0.212419,0.662034,0.560338,0.369925,0.562729,0.547723,0.835888,0.384082,1
0.222832,0.22794,0.319338,0.263697,0.179605,0.46636,0.655086,0.615692,0.19706,0.759701,1
0.265554,0.267133,0.519692,0.243877,0.170402,0.349476,0.443146,0.741074,0.658574,0.895464,1
0.042156,0.028519,0.056357,0.817063,0.585572,0.39736,0.571371,0.561171,0.110067,0.21432,0
0.036787,0.02839,0.078119,0.914569,0.697788,0.394211,0.571943,0.538249,0.0729,0.209561,0
0.163194,0.053706,0.284802,0.294339,0.214487,0.424787,0.565245,0.564951,0.019969,0.240209,1
0.116872,0.093797,0.357629,0.219957,0.164762,0.395756,0.511286,0.508038,0.033711,0.306232,0
0.033116,0.04333,0.146807,0.612598,0.44649,0.399857,0.545458,0.559539,0.584,0.359459,0
0.308899,0.16192,0.602188,0.078483,0.0616,0.499641,0.721717,0.569889,0.032537,0.519218,0
0.563941,0.189595,0.575517,0.162205,0.135817,0.319672,0.235921,0.528085,0.673282,0.731915,1
0.225258,0.086967,0.297575,0.272696,0.21137,0.499151,0.616366,0.53984,0.662633,0.336803,1
0.050177,0,0.085127,0.804761,0.643165,0.399252,0.563284,0.546739,0.546244,0.286022,1
0.176249,0.071138,0.296954,0.344914,0.250408,0.463073,0.667834,0.503766,0.029876,0.513649,1
0.12872,0.080877,0.311295,0.245814,0.170402,0.393723,0.510737,0.515091,0.109002,0.431499,0
0.391075,0.148564,0.320461,0.206288,0.178121,0.257499,0.730546,0.598414,0.06149,0.260705,1
0.077148,0.054926,0.179154,0.453355,0.372273,0.398812,0.524466,0.516252,0.287011,0.336907,0
0.088414,0.033975,0.186753,0.450849,0.318985,0.371467,0.561583,0.536604,0.767444,0.37971,1
0.220887,0.115673,0.499409,0.115617,0.086685,0.463471,0.676368,0.492069,0.084653,0.422983,0
0.183253,0.059438,0.351863,0.290466,0.209589,0.458364,0.673623,0.558223,0.006022,0.454079,0
0.033527,0.029121,0.079716,0.875043,0.807926,0.398825,0.555997,0.535479,0.776624,0.457056,0
0.049372,0.070984,0.230544,0.472149,0.350898,0.384295,0.534594,0.55801,0.271256,0.306901,0
0.604077,0.392739,0.588439,0.170634,0.105833,0.200963,0.187682,0.782421,0.608028,0.696285,1
0.170018,0.053803,0.31709,0.248662,0.191925,0.440797,0.635871,0.572088,0.587401,0.523291,1
0.06053,0.073186,0.16712,0.442647,0.320914,0.429581,0.597435,0.515825,0.382278,0.398383,0
0.138026,0.094722,0.379805,0.176558,0.126169,0.422139,0.623323,0.573228,0.023632,0.293304,0
0.253681,0.229574,0.367652,0.121882,0.089357,0.465899,0.726736,0.647082,0.440457,0.627152,1
0.0595,0.044661,0.212774,0.636519,0.510019,0.412919,0.603734,0.526213,0.203738,0.429123,1
0.087038,0.043746,0.162862,0.410411,0.307852,0.416142,0.596713,0.565329,0.12575,0.418749,0
0.41591,0.169783,0.220905,0.440027,0.296126,0.391587,0.329426,0.434765,0.145693,0.694411,1
0.044608,0.070989,0.16097,0.439002,0.307555,0.432329,0.529901,0.505354,0.646044,0.088823,0
0.040885,0.069334,0.13631,0.634469,0.496363,0.424214,0.574836,0.584363,0.335113,0.26356,0
0.096155,0.131595,0.337049,0.18419,0.138044,0.378775,0.52548,0.611362,0.3205,0.243409,0
0.050155,0,0.065523,0.885181,0.596408,0.405033,0.524696,0.546739,0.892721,0.445443,0
0.040415,0.038475,0.15003,0.746896,0.567463,0.407438,0.522437,0.517754,0.678993,0.301443,1
0.144617,0.056414,0.265021,0.349129,0.281134,0.445971,0.634778,0.584736,0.136902,0.313369,0
0.067423,0.043065,0.184654,0.511106,0.429123,0.418614,0.523903,0.568053,0.102222,0.373376,0
0.045463,0.025065,0.074039,0.86388,0.758498,0.379746,0.5213,0.563253,0.506744,0.361077,0
0.102839,0.068619,0.373802,0.287846,0.196972,0.434875,0.533399,0.51344,0.036899,0.360144,0
0.047885,0.042239,0.121496,0.612598,0.431646,0.41575,0.588588,0.527907,0.3621,0.219786,0
0.068112,0.049786,0.16712,0.510081,0.413389,0.405702,0.514131,0.531409,0.343556,0.18647,0
0.052945,0.051296,0.114163,0.547671,0.470981,0.374709,0.523817,0.568793,0.874733,0.187582,0
0.138398,0.090954,0.283737,0.210958,0.168324,0.412015,0.491537,0.583263,0.156089,0.139709,1
