@relation Monk2_4

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric

@data
1,0.5,0,0.5,0.333333,0,1
1,1,0,1,0.333333,0,0
0.5,0,1,0,0.666667,1,1
1,0.5,1,1,1,0,0
0.5,0,0,0.5,1,1,0
0,0,1,0,0.333333,1,1
0.5,0.5,0,0.5,0.666667,1,1
1,0,0,0,1,0,0
0.5,1,1,0.5,1,0,0
1,0,1,0.5,0.666667,1,1
0,0,0,1,1,1,0
0,1,1,1,0.333333,0,0
0,1,1,0.5,0.333333,0,0
0.5,0.5,1,1,1,1,0
0,0.5,1,1,0.666667,1,1
1,0.5,0,0,0,0,1
1,0.5,1,1,0.333333,0,1
0,0.5,0,1,1,1,0
0,1,0,1,1,1,0
0.5,1,0,0,0.333333,0,0
0.5,1,0,0,0.333333,1,0
0.5,1,1,1,0,1,0
1,1,0,1,1,1,0
0.5,0,1,0,0.666667,0,1
0.5,0,0,0,0.666667,1,1
1,0.5,0,1,0.666667,1,1
0,0,0,0,0,1,1
1,0,0,0,1,1,0
1,0,1,0,0.333333,0,1
0,1,1,0.5,0.666667,1,0
0,0,1,0.5,0.333333,0,1
0.5,1,0,1,0.333333,0,0
0.5,0.5,1,0,0.666667,0,1
0.5,1,0,0.5,1,1,0
0.5,0,0,0,0.333333,1,1
0,0,0,0,0.666667,0,1
1,1,0,0,0,0,0
1,0,0,0,0.666667,1,1
1,0,0,0.5,0,0,1
0,1,0,1,0.666667,1,0
0.5,0.5,0,1,0,1,1
0.5,0,0,0,0,1,1
0,0,1,0.5,1,0,0
1,1,1,0.5,1,1,0
0,1,1,0,0,0,0
0,0,1,1,0.666667,1,1
0,0,0,0,1,0,0
0.5,1,1,1,1,0,0
0.5,0,0,1,1,1,0
0,0,0,0.5,0.333333,1,1
0.5,0.5,0,0,1,1,0
1,0.5,0,0,0,1,1
1,1,1,0.5,0.666667,0,0
0,0.5,0,0.5,0.666667,0,1
1,0,1,0.5,0.333333,1,1
0,0,1,0,0.666667,1,1
0.5,1,0,0.5,0.333333,1,0
1,0,0,0.5,0.333333,1,1
0.5,1,0,1,1,0,0
1,1,1,0,0.333333,0,0
1,1,1,0.5,0,1,0
0,0.5,0,0,0.333333,1,1
0,1,1,0,0,1,0
0.5,0,1,0,0,1,1
1,0,1,1,0.333333,1,1
1,1,0,0.5,1,1,0
1,1,1,0.5,0.333333,0,0
1,0,0,1,0.666667,0,1
0,0,1,0.5,1,1,0
0.5,1,0,0,0,1,0
0,1,0,0,0.333333,0,0
0.5,1,1,1,0.333333,0,0
0,0.5,0,0.5,0.333333,1,1
0,1,1,1,1,1,0
1,0.5,1,0.5,0,1,1
1,0.5,1,1,0.666667,0,1
1,1,0,1,0.666667,0,0
0,1,0,0,0.666667,1,1
1,0.5,0,0,0.666667,1,1
0.5,0,1,0.5,1,1,0
1,0.5,1,1,1,1,0
1,0,0,1,0,1,1
0.5,0,0,0.5,0,0,1
0,0,0,0.5,0.666667,0,1
1,1,0,0.5,0,0,0
0,0,0,0.5,1,0,0
0,0.5,1,0,1,1,0
1,0.5,0,0.5,1,1,0
1,1,0,0.5,1,0,0
0.5,0,1,0,1,0,0
0,1,1,0,1,0,0
0,0.5,1,1,1,0,0
1,0.5,0,0.5,0.666667,1,1
0,0,0,0,0,0,1
0,0,1,1,0.333333,0,1
1,0.5,1,0.5,0.666667,1,1
0.5,0,1,1,1,0,0
0,0.5,1,0.5,0.666667,0,1
0,1,1,0,0.333333,1,0
0,1,0,0,0,1,0
1,1,0,0,1,0,0
0,1,1,0,0.666667,1,1
0.5,0,0,1,1,0,0
0.5,1,0,0.5,0.666667,0,0
0,1,1,0.5,0,0,0
1,1,1,1,0,0,0
0,0.5,1,0,0.666667,1,1
