@relation Segmentation_15

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric

@data
0.488095,0.426778,0,0,0,0.013308,0.000393,0.006211,0.000236,0.006713,0,0.018409,0.000779,0.785448,0.186541,0.558416,0.018409,1,0.154604,2
0.333333,0.246862,0,0,0,0.043726,0.000736,0.040994,0.000826,0.164988,0.167747,0.199558,0.125487,0.800373,0.33412,0.29505,0.199558,0.406015,0.23412,0
0.162698,0.188285,0,0,0,0.036122,0.00096,0.029814,0.001154,0.158533,0.153971,0.200295,0.118472,0.751866,0.367178,0.291089,0.200295,0.440708,0.215685,0
0.769841,0.451883,0,0,0.5,0.123574,0.001417,0.027329,0.000657,0.06016,0.04295,0.090574,0.044427,0.695896,0.289256,0.481188,0.090574,0.589565,0.151338,4
0.222222,0.912134,0,0,0,0.093156,0.002077,0.077019,0.001016,0.101988,0.08752,0.089838,0.128605,0.701493,0.094451,0.80198,0.121502,0.347692,0.905645,6
0.956349,0.292887,0,0,0,0.051331,0.001154,0.027329,0.000534,0.266718,0.252026,0.31296,0.231489,0.647388,0.414404,0.322772,0.31296,0.300796,0.177887,3
0.515873,0.849372,0,0,0,0.026616,0.000657,0.028571,0.000174,0.047508,0.036467,0.031664,0.074825,0.742537,0.063754,0.809901,0.070692,0.568162,0.856606,6
0.297619,0.514644,0,0.5,0,0.087452,0.001452,0.032298,0.000393,0.341079,0.305511,0.418262,0.293063,0.479478,0.580874,0.221782,0.418262,0.341111,0.160704,3
0.111111,0.41841,0,0,0,0.013308,0.000243,0.013665,0.00011,0.037697,0.050243,0.041973,0.021044,0.908582,0.158205,0.475248,0.045655,0.564153,0.360322,0
0.948413,0.267782,0,0,0,1,0.756024,0.228571,0.071481,0.265169,0.21718,0.335788,0.236165,0.41791,0.531287,0.370297,0.335788,0.464912,0.127586,2
0.015873,0.832636,0,0,0.5,0.074145,0.001684,0.099379,0.001885,0.357604,0.331442,0.426362,0.309431,0.539179,0.544274,0.219802,0.426362,0.317566,0.171788,5
0.464286,0.476987,0,0,0,0.011407,0.000301,0.019876,0.000248,0.008004,0,0.020619,0.002338,0.776119,0.191263,0.560396,0.020619,1,0.145808,2
0.011905,0.794979,0,0,1,0.093156,0.001693,0.11677,0.002254,0.374387,0.343598,0.445508,0.328137,0.501866,0.559622,0.233663,0.445508,0.308859,0.162667,5
0.079365,0.330544,0,0,0,0.022814,0.000045,0.017391,0.000406,0.791118,0.772285,0.851988,0.74357,0.451493,0.609209,0.20396,0.851988,0.179697,0.158874,1
0.738095,0.104603,0,0,0,0.013308,0.000253,0.01118,0.000201,0.052414,0.034846,0.086156,0.033515,0.695896,0.303424,0.457426,0.086156,0.648657,0.158962,4
0.313492,0.276151,0,0,0,0.047528,0.001072,0.014907,0.000402,0.412084,0.372771,0.490427,0.366329,0.43097,0.603306,0.235644,0.490427,0.31069,0.151281,3
0.06746,0.230126,0,0,0,0.296578,0.009166,0.24472,0.003815,0.278079,0.235818,0.328424,0.265004,0.453358,0.436836,0.491089,0.328424,0.350169,0.103002,2
0.543651,0.51046,0,0,0,0.022814,0.000448,0.026087,0.000152,0.044926,0.056726,0.052283,0.025721,0.901119,0.174734,0.455446,0.054492,0.558201,0.330138,0
0.964286,0.284519,0,0,0,0.019011,0.00012,0.023602,0.000334,0.623548,0.536467,0.764359,0.557288,0.033582,0.953955,0.069307,0.764359,0.362172,0.13473,1
0.202381,0.665272,0,0,0,0.019011,0.000459,0.021118,0.000281,0.177382,0.146677,0.167894,0.21668,0.565299,0.125148,0.89505,0.204713,0.349112,0.948215,6
0.984127,0.820084,0,1,0,0.093156,0.000937,0.019876,0.000196,0.084689,0.069692,0.068483,0.116134,0.703358,0.070838,0.839604,0.10972,0.432389,0.883287,6
0.083333,0.430962,0,0.5,0,0.032319,0.001172,0.026087,0.000294,0.212497,0.178282,0.27025,0.183944,0.529851,0.456907,0.376238,0.27025,0.400536,0.140518,4
0.206349,0.690377,0,0,0,0.06654,0.000887,0.034783,0.00144,0.350633,0.331442,0.411635,0.303975,0.589552,0.505313,0.231683,0.411635,0.302421,0.179061,5
0.912698,0.623431,0,0,0,0.089354,0.00831,0.29441,0.100882,0.28505,0.248784,0.343152,0.257989,0.492537,0.475797,0.384158,0.343152,0.339618,0.118915,5
0.396825,0.497908,0,0,0,0.020913,0.000243,0.014907,0.000417,0.040279,0.054295,0.044183,0.022603,0.91791,0.157025,0.467327,0.050074,0.575397,0.364748,0
0.876984,0.213389,0,0,0,0.009506,0.000253,0.014907,0.000402,0.044668,0.029984,0.075847,0.025721,0.718284,0.289256,0.457426,0.075847,0.680808,0.169562,4
0.472222,0.025105,0,0,0,0.047528,0.000556,0.042236,0.000823,0.903176,0.866289,0.951399,0.886204,0.291045,0.57497,0.431683,0.951399,0.172628,0.105967,1
0.130952,0.661088,0,0,0,0.028517,0.00051,0.036025,0.000635,0.089336,0.077796,0.064801,0.126267,0.725746,0.031877,0.881188,0.119293,0.463569,0.845669,6
0.301587,0.694561,0,0,0,0.045627,0.001344,0.048447,0.001425,0.337464,0.322528,0.393225,0.292284,0.623134,0.476978,0.243564,0.393225,0.297431,0.185297,5
0.222222,0.32636,0,0,0,0.058935,0.001318,0.137888,0.003393,0.118513,0.094814,0.162739,0.09431,0.632463,0.36954,0.413861,0.162739,0.477489,0.153514,4
0.702381,0.464435,0,0,0,0.019011,0.00012,0.017391,0.000085,0.040795,0.053485,0.045655,0.023383,0.908582,0.161747,0.469307,0.049337,0.549603,0.352818,0
0.103175,0.422594,0,0,0,0.007605,0.000347,0.002484,0.000196,0.001033,0,0.002946,0,0.826493,0.138135,0.59604,0.002946,0.222222,0.159449,2
0.928571,0.322176,0,0,0,0.020913,0.000243,0.021118,0.000238,0.019365,0.003241,0.04271,0.010133,0.716418,0.245573,0.532673,0.04271,0.938492,0.130045,2
0.353175,0.514644,0,0,0,0.019011,0.000344,0.023602,0.00027,0.01859,0.007293,0.040501,0.006235,0.75,0.238489,0.508911,0.040501,0.876102,0.163336,4
0.646825,0.158996,0,0,0,0.039924,0.000437,0.03354,0.000216,0.87968,0.84846,0.939617,0.844895,0.337687,0.625738,0.29703,0.939617,0.179413,0.131019,1
0.873016,0.598326,0,0.5,0.5,0.144487,0.002764,0.028571,0.00043,0.045185,0.031605,0.071429,0.030398,0.725746,0.265643,0.489109,0.071429,0.6248,0.160525,4
0.833333,0.8159,0,0,0,0.032319,0.001139,0.048447,0.000793,0.112058,0.098865,0.096465,0.141076,0.70709,0.080283,0.819802,0.133284,0.32736,0.889181,6
0.615079,0.158996,0,0,0,0.036122,0.000579,0.027329,0.000393,0.265169,0.26013,0.292342,0.240842,0.714552,0.322314,0.405941,0.292342,0.221187,0.183732,3
0.15873,0.209205,0,0,0,0.070342,0.001587,0.034783,0.0014,0.151562,0.148298,0.190722,0.113016,0.76306,0.353011,0.30297,0.190722,0.437042,0.219399,0
0.56746,0.447699,0,0,0,0.019011,0.000388,0.014907,0.000289,0.044926,0.055105,0.053756,0.025721,0.889925,0.181818,0.455446,0.055965,0.56433,0.320588,0
0.551587,0.058577,0,0,0,0.03422,0.001479,0.024845,0.000085,0.892332,0.858995,0.943299,0.869057,0.31903,0.585596,0.384158,0.943299,0.172504,0.115774,1
0.087302,0.309623,0,0,0,0.04943,0.001061,0.039752,0.000695,0.125226,0.137763,0.145066,0.091972,0.880597,0.253837,0.344554,0.145066,0.399751,0.278228,0
