@relation Sonar_4

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric

@data
0.150817,0.363052,0.321582,0.08797,0.264616,0.416286,0.42316,0.456883,0.494472,0.514371,0.47056,0.613232,0.547754,0.562524,0.511491,0.637319,0.836603,0.891886,0.8366,0.834439,0.789102,0.850424,0.962064,1,0.934119,0.926829,0.896252,0.69198,0.626623,0.538404,0.329046,0.229499,0.113318,0.330116,0.369851,0.226915,0.224008,0.23887,0.162883,0.198584,0.308052,0.313772,0.040974,0.214484,0.263577,0.2404,0.1954,0.218029,0.122161,0.245186,0.158367,0.233951,0.476316,0.730994,0.471831,0.371875,0.425101,0.230352,0.037543,0.113636,1
0.045319,0.089584,0.071829,0.092011,0.150229,0.17979,0.126082,0.18865,0.177211,0.148107,0.06616,0.151218,0.114842,0.073186,0.02949,0.07774,0.24115,0.283166,0.321845,0.459332,0.607399,0.812085,0.919148,0.867841,0.80041,0.845982,1,0.984897,0.941863,0.799084,0.708992,0.719614,0.635907,0.72308,0.759758,0.665323,0.629236,0.496427,0.32855,0.244989,0.149351,0.091103,0.101902,0.146396,0.036963,0.045666,0.037124,0.092543,0.050984,0.121951,0.046813,0.091298,0.115789,0.035088,0.035211,0.071875,0.190283,0.113821,0.078498,0.086364,0
0.234027,0.265324,0.117628,0.047313,0.092781,0.248589,0.339286,0.397916,0.394963,0.608607,0.773663,0.921847,0.770752,0.459558,0.283099,0.265824,0.275511,0.258065,0.517177,0.778682,0.86836,0.863715,0.693441,0.683537,0.722029,0.85044,1,0.98043,0.896916,0.578992,0.485232,0.557965,0.421767,0.289146,0.057149,0.218649,0.130219,0.392987,0.615335,0.553268,0.220054,0.512943,0.505122,0.748787,0.695479,0.260697,0.170228,0.408506,0.457345,0.184852,0.327689,0.189729,0.023684,0.166667,0.327465,0.1125,0.186235,0.116531,0.109215,0.213636,1
0.073551,0.183026,0.191104,0.092962,0.132435,0.067992,0.13474,0.063844,0.150031,0.294958,0.203071,0.296619,0.403256,0.220315,0.043319,0.193076,0.341534,0.378069,0.570689,0.603917,0.557441,0.445251,0.411783,0.353652,0.635861,0.868763,0.885988,0.466071,0.323559,0.185043,0.11673,0.366435,0.395493,0.307808,0.299763,0.406149,0.581126,0.411784,0.549154,0.533878,0.31483,0.315909,0.312758,0.398129,0.164202,0.099287,0.112459,0.095238,0.227158,0.214377,0.077689,0.10699,0.123684,0.479532,0.640845,0.15,0.417004,0.509485,0.498294,0.231818,0
0.230312,0.108015,0.123229,0.121731,0.11515,0.265789,0.453463,0.361117,0.274877,0.379771,0.448085,0.596874,0.41634,0.213502,0.164124,0.235981,0.259836,0.395684,0.534354,0.672089,0.78594,0.739495,0.809579,0.924291,0.878074,0.853163,0.922021,0.995214,0.855519,0.581229,0.37624,0.231409,0.107658,0.099528,0.076774,0,0.026136,0.060789,0.056008,0.110022,0.050836,0.091983,0.261274,0.390852,0.25789,0.275919,0.305686,0.310572,0.252903,0.174583,0.129482,0.159772,0.076316,0.125731,0.197183,0.125,0.137652,0.03794,0.013652,0.090909,1
0.210253,0.142735,0.058649,0.197575,0.379766,0.442892,0.239989,0.287741,0.233108,0.400974,0.47151,0.48546,0.197122,0.386372,0.490035,0.713997,0.724904,0.867335,0.886038,0.963292,1,0.867805,0.626046,0.58744,0.817418,0.72205,0.566154,0.382578,0.288758,0.078939,0.213188,0.586385,0.525259,0.724045,0.760621,0.699798,0.57731,0.114104,0.467659,0.685512,0.460091,0.363157,0.316217,0.486486,0.195337,0.155787,0.187251,0.20605,0.213024,0.150193,0.069721,0.226819,0.307895,0.374269,0.295775,0.140625,0.072874,0.308943,0.187713,0.040909,0
0.617385,0.192027,0.117957,0.034475,0.078546,0.116098,0.570076,0.677233,0.42414,0.394063,0.371953,0.123046,0.111644,0.535773,0.668192,0.650701,0.695422,0.578774,0.334618,0.220997,0.504321,0.764544,0.856204,0.928696,0.935656,0.535347,0.556448,0.66071,0.497463,0.549909,0.465613,0.224219,0.228773,0.191441,0.545719,0.73881,0.844108,0.444212,0.111908,0.36939,0.472596,0.492586,0.406279,0.387214,0.371197,0.383708,0.433176,0.605271,0.669359,0.459564,0.12749,0.233951,0.336842,0.201754,0.109155,0.140625,1,0.254743,0.122867,0.118182,0
0.072808,0.006858,0.056672,0.035188,0.026436,0.104811,0,0.076036,0.109951,0.036595,0.125831,0.04562,0.136648,0.210726,0.170226,0.159834,0.164954,0.13817,0.051971,0.038634,0.088744,0.300378,0.432553,0.580576,0.669672,0.767117,0.84315,0.91789,0.836343,0.705763,0.633243,0.536621,0.426359,0.540862,0.528682,0.388004,0.092865,0.003078,0.05226,0.110458,0.101437,0.184594,0.352268,0.338704,0.093261,0.079539,0.057769,0.090147,0.137304,0.094994,0.148406,0.166904,0.326316,0.046784,0.112676,0.0375,0.412955,0.135501,0.156997,0.272727,0
0.215453,0.105444,0.047117,0.100095,0.209964,0.256651,0.268128,0.255819,0.179054,0.202764,0.28031,0.412032,0.35383,0.319243,0.174903,0.096963,0.186131,0.224816,0.246972,0.28735,0.345067,0.382067,0.494755,0.683741,0.781557,0.794107,0.910643,1,0.897524,0.622457,0.59782,0.443833,0.252056,0.223295,0.174898,0.084879,0.15647,0.1495,0.222853,0.249455,0.243076,0.363911,0.224159,0.116944,0.16861,0.251371,0.340094,0.333633,0.156487,0.183569,0.13745,0.142653,0.136842,0.099415,0.232394,0.003125,0.174089,0.073171,0,0.2,1
0.102526,0.082297,0.058649,0.077984,0.171835,0.360656,0.393398,0.316781,0.363483,0.405214,0.527699,0.632679,0.534235,0.382965,0.093451,0.060217,0.31963,0.557745,0.630258,0.708476,0.778035,0.822513,0.861926,0.778301,0.706967,0.467377,0.208835,0.429483,0.635653,0.723554,0.826921,0.900472,1,1,0.70207,0.385585,0.089395,0.356821,0.64093,0.871351,0.844455,0.644509,0.347745,0.29851,0.400057,0.379046,0.359471,0.449835,0.615346,0.632863,0.026892,0.098431,0.042105,0.061404,0.271127,0.04375,0.295547,0.271003,0.279863,0.1,1
