@relation Vehicle_13

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric

@data
0.342105,0.24,0.680556,0.35023,0.174419,0.096154,0.42,0.342857,0.363636,0.206349,0.44586,0.34122,0.276316,0.161765,0.5,0.365854,0.444444,0.448276,2
0.473684,0.64,0.583333,0.156682,0.104651,0.153846,0.313333,0.485714,0.272727,0.68254,0.273885,0.225405,0.480263,0.235294,0.318182,0.243902,0.185185,0.310345,0
0.131579,0.4,0.416667,0.668203,0.674419,1,0.18,0.628571,0.090909,0.412698,0.643312,0.13076,0.394737,0.588235,0.181818,0.219512,0.481481,0.586207,0
0.263158,0.16,0.166667,0.050691,0.081395,0.057692,0.02,0.914286,0,0.111111,0.031847,0.014944,0.210526,0.220588,0.5,0.536585,0.333333,0.275862,0
0.394737,0.16,0.486111,0.396313,0.27907,0.057692,0.326667,0.4,0.272727,0.142857,0.318471,0.260274,0.151316,0.147059,0.045455,0.341463,0.666667,0.689655,3
0.421053,0.64,0.541667,0.345622,0.209302,0.076923,0.406667,0.314286,0.363636,0.619048,0.375796,0.347447,0.539474,0.161765,0.227273,0.243902,0.740741,0.689655,3
0.210526,0.24,0.236111,0.096774,0.104651,0.057692,0.013333,0.914286,0,0.253968,0.025478,0.013699,0.217105,0.073529,0.772727,0.170732,0.740741,0.689655,0
0.921053,0.68,0.972222,0.373272,0.104651,0.153846,0.68,0.142857,0.636364,0.634921,0.649682,0.612702,0.598684,0.176471,0.818182,0.658537,0.518519,0.689655,2
0.263158,0.4,0.416667,0.294931,0.290698,0.076923,0.266667,0.514286,0.181818,0.412698,0.299363,0.195517,0.388158,0.25,0.272727,0.292683,0.259259,0.172414,3
0.131579,0.12,0.152778,0.041475,0.069767,0.019231,0.153333,0.685714,0.090909,0.111111,0.127389,0.104608,0.210526,0.397059,0.681818,0.097561,0.148148,0,2
0.710526,0.76,0.847222,0.465438,0.174419,0.134615,0.573333,0.2,0.545455,0.666667,0.490446,0.501868,0.605263,0.073529,0.090909,0.121951,0.666667,0.758621,1
0.447368,0.6,0.652778,0.262673,0.197674,0.134615,0.3,0.485714,0.272727,0.666667,0.312102,0.222914,0.486842,0.235294,0.181818,0.365854,0.259259,0.448276,0
0.342105,0.52,0.458333,0.147465,0.127907,0.153846,0.326667,0.485714,0.272727,0.619048,0.254777,0.235367,0.486842,0.25,0,0.219512,0.185185,0.37931,0
0.131579,0.44,0.444444,0.207373,0.197674,0.076923,0.28,0.514286,0.181818,0.396825,0.324841,0.206725,0.427632,0.308824,0,0.390244,0.222222,0.172414,3
0.342105,0.4,0.569444,0.580645,0.581395,0.826923,0.253333,0.542857,0.181818,0.47619,0.44586,0.184309,0.342105,0.470588,0.227273,0.219512,0.333333,0.482759,0
