@relation Wine_9

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric

@data
0.295858,0.576819,0.684492,0.916201,0.293478,0.290909,0.019608,0.942308,0.230284,0.594078,0.133333,0.181818,0.488636,2
0.402367,0.382749,0.55615,0.748603,0.304348,0.018182,0.130719,0.25,0.132492,0.422159,0.122222,0.028926,0.228896,2
0.772189,0.339623,0.668449,0.391061,0.554348,0.545455,0.440087,0.326923,0.264984,0.360076,0.566667,0.946281,0.825487,0
0.260355,0.026954,0.315508,0.234637,0.717391,0.290909,0.296296,0.403846,0.741325,0.202483,0.566667,0.421488,0.383117,1
0.724852,0.212938,0.406417,0.301676,0.336957,0.727273,0.631808,0.134615,0.545741,0.460363,0.4,0.842975,0.573864,0
0.405325,0.668464,0.502674,0.497207,0.195652,0.138182,0.037037,0.5,0.176656,0.857689,0.188889,0.190083,0.330357,2
0.801775,0.436658,0.59893,0.52514,0.228261,0.210909,0.045752,0.576923,0.26183,0.804202,0.077778,0.173554,0.310065,2
0.630178,0.455526,0.71123,0.776536,0.380435,0.163636,0.076253,0.480769,0.356467,0.704871,0.211111,0.210744,0.383117,2
0.047337,0.123989,0.716578,0.52514,0.26087,0.596364,0.529412,0.288462,0.656151,0.13085,0.455556,0.81405,0.326299,1
0.689349,0.504043,0.502674,0.636872,0.217391,0.090909,0.041394,0.519231,0.195584,0.792741,0.166667,0.161157,0.273539,2
0.544379,0.291105,0.705882,0.346369,0.347826,0.690909,0.59695,0.326923,0.394322,0.450812,0.577778,0.640496,0.805195,0
0.340237,0.121294,0.28877,0.441341,0.195652,0.127273,0.189542,0.288462,0.29653,0.111748,0.544444,0.61157,0.230519,1
0.313609,0.09434,0.475936,0.385475,0.163043,0.327273,0.019608,0.884615,0.264984,0.398281,0.222222,0.090909,0.301948,2
0.529586,0.832884,0.497326,0.385475,0.358696,0.56,0.466231,0.346154,0.394322,0.294174,0.3,0.706612,0.326299,0
0.505917,0.722372,0.42246,0.581006,0.347826,0.145455,0.013072,0.557692,0.280757,0.25979,0.055556,0.161157,0.448052,2
0.286982,0.447439,0.486631,0.636872,0.217391,0.210909,0.294118,1,0.318612,0.135626,0.344444,0.830579,0.030032,1
0.473373,0.312668,0.994652,0.804469,0.586957,0.556364,0.477124,0.634615,0.476341,0.219675,0.644444,0.789256,0.448052,0
0.360947,0.024259,0.470588,0.413408,0.315217,0.4,0.315904,0.307692,0.33123,0.127985,0.755556,0.772727,0.13961,1
0,0.407008,0.566845,0.52514,0.282609,0.654545,0.501089,0.346154,0.44795,0.188157,0.277778,0.867769,0.281656,1
0.248521,0.522911,0.459893,0.413408,0.195652,0.490909,0.383442,0.211538,0.498423,0.083095,0.666667,0.830579,0.00974,1
